Star,Radius,Spectral type,
Theoretical limit,"~1,500",,
Gamma1 Delphini,2.600,F7V,
41 Arietis,2.590,B8Vn,
Albireo B,2.590,B8Ve,
Vega,2.590,A0Va,
56 Arietis,2.580,B9pSi,
50 Cassiopeiae,2.500,A2V,
Asellus Borealis,2.500,A1IV,
Epsilon Aquarii,2.500,A1V,
Sabik A,2.500,A1IV,
Cor Caroli,2.490,A0pSiEuHg,
Tau Cygni A,2.480,F2IV,
Delta Aquarii,2.400,A3Vp,
Mu Andromedae,2.400,A5V,
Theta Ursae Majoris,2.365,F6IV,
GO Andromedae,2.360,A3VpSiSrCrEuKsn,
Gamma Capricorni,2.350,kF0hF1VmF2,
Delta Eridani,2.327,K0IV,
Lambda Ursae Majoris,2.300,A2IV,
Kappa Andromedae,2.290,B9IVn,
Zeta Aquilae A,2.270,A0Vn,
Alpha Coronae Australis,2.210,A2V,
Theta Arietis,2.200,A1Vn,
Gamma Aquarii,2.193,A0V,
Zosma,2.140,A4V,
Alpha Chamaeleontis,2.110,F5VFe-0.8,
Castor Aa,2.089,A1V,
Zeta Virginis A,2.079,A3V,
CT Chamaeleontis A,2.060,K7Ve,
Procyon A,2.048,F5IV-V,
Alpha Fornacis A,2.040,F8IV,
Denebokab Aa,2.040,F0IV,
Mesartim,2.014,A2IVpSiSrCr,
Omega2 Aquilae,2.000,A2V or F0V,
Sabik B,2.000,A1IV,
Tycho G,1.975,G0/1IV,
Omega2 Aquarii,1.940,B9V,
Deneb Algedi,1.910,A7mIII,
Gamma Ceti A,1.900,A3V ,
Lambda Aquilae,1.900,B9Vn,
V1094 Scorpii,1.900,K6V,
Epsilon Cephei,1.860,F0V or F0IV,
Fomalhaut A,1.842,A3V,
Altair,1.790,A7V,
Algol C,1.730,F1V,
HAT-P-13,1.730,G4V,
Denebola,1.728,A3Va,
Sirius A,1.711,A0mA1Va,
Tau1 Gruis,1.710,G0V,
HD 8801,1.700,Am(kA5/hF1/mF2),
Zavijava,1.681,F9V,
OGLE-TR-211,1.640,F7-F8,
10 Tauri,1.622,F8V,
Gamma Centauri,1.600,A1IV+,
Tabby's Star,1.580,F3V,
OGLE-TR-123 A,1.550,F,
OGLE2-TR-L9,1.530,F3V,
Kepler-23,1.520,G5,
HD 17156,1.501,G0IV,
Dziban B,1.500,F8V ,
Zeta Leporis,1.500,A2IV-V(n),
HAT-P-8,1.491,F,
Kepler-8,1.486,F5V,
Upsilon Andromedae A,1.480,F8V,
WASP-15,1.477,F5,
HAT-P-6,1.460,F8V,
S Antliae A,1.460,A9V,
Sigma Boötis,1.431,F4VkF2mF1,
Kepler-43,1.420,G0IV-V,
HD 147506,1.412,F8V,
HD 142,1.410,F7V,
Kepler-65,1.410,F6IV,
Megrez,1.400,A3V,
WZ Cephei,1.400,F5V,
Kepler-6 ,1.391,G,
Polaris B,1.380,F3V,
XO-3,1.377,F5V,
WR 46,1.360,WN3p-w,
1RXS 160929.1-210524,1.350,K7V ,
Tabit,1.323,F6V,
HAT-P-9,1.320,F,
Rho Coronae Borealis,1.304,G0V,
HR 1502,1.300,F2V,
g Lupi,1.260,F3/FV,
51 Pegasi,1.237,G2IV,
Alpha Centauri A,1.218,G2V,
HD 209458,1.203,G0V,
Chi Draconis A,1.200,F7V,
Porrima B,1.199,F0V,
Psi5 Aurigae,1.180,G0V,
SWEEPS J175853.92-291120.6,1.180,F5V,
Kepler-34 A,1.162,G0V,
CoRoT-5,1.160,F9V,
Gamma Pavonis,1.150,F9VFe-1.4CH-0.7,
OGLE-TR-182,1.140,G,
ADS 16402 A,1.123,F8/G0V,
Chara,1.123,G0V,
Kepler-18,1.108,G7,
Beta Comae Berenices,1.106,G0V,
HD 10647,1.100,F9V,
Kepler-223,1.095,G,
Kepler-34 B,1.093,G0V,
W Ursae Majoris A,1.092,F8Vp,
XO-5,1.080,G8V,
Kepler-24,1.070,G5,
OGLE-TR-122 A,1.050,?(primary)/M(b),
Polaris Ab,1.040,F7Ib,
Achird A,1.039,G0V,
Kepler-35 A,1.028,G,
CoRoT-6,1.025,F5V,
Kepler-11,1.021,G6V,
Alula Australis Aa,1.020,F8.5:V,
Sun,1.000,G2V,
TrES-2,0.999,G0V,
Acubens,0.997,kA7VmF0/2III/IVSr,
Kepler-15,0.992,G6V,
39 Leonis A,0.990,F6V,
Delta Trianguli A,0.980,G0V,
Eta Arietis,0.980,F5V ,
Pi1 Ursae Majoris,0.980,G1.5Vb,
Chi1 Orionis,0.979,G0V,
V4046 Sagittarii,0.979,K5Ve,
XO-2N,0.976,K0V,
Kepler-66,0.966,G0V,
Alpha Mensae A,0.964,G7V,
39 Tauri,0.960,G5V,
Kepler-9,0.958,G2V,
55 Cancri A,0.943,K0IV-V,
XO-1,0.940,G1V,
Kepler-46,0.938,G?, 
Tau Cygni B,0.930,G0V,
82 G. Eridani,0.920,G6V,
Zeta Herculis B,0.918,G7V,
85 Pegasi A,0.910,G5Vb,
CoRoT-2,0.902,G7V,
Alpha Coronae Borealis B,0.900,G5V ,
WASP-6,0.870,G8,
Kepler-22 ,0.869,G5V,
61 Ursae Majoris,0.860,G8V,
Alpha Centauri B,0.859,K1V,
GJ 86,0.855,K1V,
Xi Boötis A,0.817,G8Ve,
Tau Ceti,0.793,G8V ,
Mu Cassiopeiae Aa,0.789,G5Vb,
Kepler-35 B,0.786,G,
Chi Draconis B,0.730,K0V,
Iota Pegasi Ab,0.730,G8V,
Z Chamaeleontis,0.480,DA?,
Proxima Centauri,0.1542,M5.5Ve,
Procyon B,0.0123,DQZ,
Sirius B,0.0084,DA2,
A.C.+70°8247,0.0047,DAP4.5,
